Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
16:00:00,0.99483,0.99601,0.9934,0.99443,34375,0.995,34375,,2022-09-01
20:00:00,0.99441,0.9954,0.99404,0.99518,13088,0.9946,13088,,2022-09-01
00:00:00,0.99517,0.9963,0.9949,0.99618,23029,0.9957,23029,,2022-09-02
04:00:00,0.99618,0.99961,0.9957,0.99883,32175,0.9974,32175,,2022-09-02
08:00:00,0.99883,1.00173,0.9966,0.99904,35281,0.9991,35281,,2022-09-02
12:00:00,0.99903,1.00335,0.99792,1.00302,57238,1.0009,57238,,2022-09-02
16:00:00,1.00299,1.00304,0.9943,0.9953,41941,0.9968,41941,,2022-09-02
20:00:00,0.99515,0.9961,0.9935,0.9951,4817,0.9956,4817,,2022-09-02
16:00:00,0.99432,0.99493,0.99329,0.99345,41,0.9942,41,,2022-09-04
20:00:00,0.99342,0.99344,0.9903,0.99076,8893,0.9919,8893,,2022-09-04
00:00:00,0.99075,0.99288,0.99,0.99126,32948,0.9916,32948,,2022-09-05
04:00:00,0.99128,0.99371,0.98775,0.99117,40468,0.99,40468,,2022-09-05
08:00:00,0.99113,0.9944,0.9903,0.99171,37351,0.9922,37351,,2022-09-05
12:00:00,0.99169,0.99349,0.9912,0.99293,32432,0.9924,32432,,2022-09-05
16:00:00,0.99292,0.9936,0.9926,0.99305,12061,0.993,12061,,2022-09-05
20:00:00,0.99307,0.9952,0.99187,0.995,14904,0.9939,14904,,2022-09-05
00:00:00,0.99504,0.99706,0.9942,0.99438,33110,0.9959,33110,,2022-09-06
04:00:00,0.99443,0.99861,0.9942,0.99755,42664,0.9961,42664,,2022-09-06
08:00:00,0.99755,0.9977,0.9917,0.9924,45846,0.9944,45846,,2022-09-06
12:00:00,0.99236,0.99298,0.98639,0.99118,55552,0.9903,55552,,2022-09-06
16:00:00,0.99122,0.99165,0.9894,0.99038,38378,0.9906,38378,,2022-09-06
20:00:00,0.99034,0.9909,0.9889,0.98969,12504,0.99,12504,,2022-09-06
00:00:00,0.9896,0.99038,0.9876,0.98866,35743,0.9886,35743,,2022-09-07
04:00:00,0.98864,0.99285,0.9878,0.99233,36194,0.9897,36194,,2022-09-07
08:00:00,0.9923,0.99301,0.9875,0.98783,41459,0.9903,41459,,2022-09-07
12:00:00,0.98784,0.99543,0.98753,0.99389,50770,0.9917,50770,,2022-09-07
16:00:00,0.99388,1.001,0.9938,1.00085,34980,0.9983,34980,,2022-09-07
20:00:00,1.00086,1.0013,0.99914,0.99976,14622,1.0005,14622,,2022-09-07
00:00:00,0.99978,1.00007,0.99792,0.99858,31931,0.9988,31931,,2022-09-08
04:00:00,0.9986,1.00148,0.9976,0.99815,36588,0.9995,36588,,2022-09-08
08:00:00,0.99824,1.00289,0.99778,1.00198,40384,1.0002,40384,,2022-09-08
12:00:00,1.00197,1.003,0.99301,0.99536,65002,0.9974,65002,,2022-09-08
16:00:00,0.99533,1.0,0.99438,0.99988,41334,0.9981,41334,,2022-09-08
20:00:00,0.99989,1.0011,0.99895,1.00096,12980,1.0001,12980,,2022-09-08
00:00:00,1.00099,1.00842,1.0007,1.0069,31615,1.0054,31615,,2022-09-09
04:00:00,1.0069,1.01103,1.0057,1.00963,39766,1.0077,39766,,2022-09-09
08:00:00,1.0096,1.01135,1.0035,1.00371,42101,1.0084,42101,,2022-09-09
12:00:00,1.00368,1.00624,1.00316,1.00451,50528,1.0046,50528,,2022-09-09
16:00:00,1.00451,1.00553,1.0035,1.00454,26943,1.0045,26943,,2022-09-09
20:00:00,1.00453,1.0151,1.00375,1.015,4331,1.0045,4331,,2022-09-09
00:00:00,1.0151,1.0151,1.0151,1.0151,1,1.0151,1,,2022-09-10
04:00:00,1.015,1.015,1.015,1.015,1,1.015,1,,2022-09-10
12:00:00,1.0151,1.0151,1.0151,1.0151,1,1.0151,1,,2022-09-10
16:00:00,1.00676,1.01244,1.00676,1.01199,77,1.0095,77,,2022-09-11
